birthplace,plays,name,weight,url,country,height,date_of_birth,current_rank,previous_rank,residence,tournaments,points
,,Maximilian Neuchrist,,http://www.atpworldtour.com/en/players/maximilian-neuchrist/n663/overview,AUT,,1991.07.22,397,393,"Right-Handed, Two-Handed Backhand",21,110
"New York, NY, USA","Left-Handed, Two-Handed Backhand",Andrea Collarini,176,http://www.atpworldtour.com/en/players/andrea-collarini/cc66/overview,ARG,185,1992.01.31,398,398,"Buenos Aires, Argentina",16,109
"North York, Canada","Right-Handed, Two-Handed Backhand",Peter Polansky,176,http://www.atpworldtour.com/en/players/peter-polansky/pb22/overview,CAN,183,1988.06.15,399,412,"Thornhill, Ontario, Canada",14,108
,,Hiroyasu Ehara,,http://www.atpworldtour.com/en/players/hiroyasu-ehara/e757/overview,JPN,,1991.06.18,400,402,,19,108
"Bucharest, Romania","Left-Handed, Two-Handed Backhand",Petru-Alexandru Luncanu,176,http://www.atpworldtour.com/en/players/petru-alexandru-luncanu/l872/overview,ROU,185,1989.05.07,401,403,"Bucharest, Romania",22,108
Ufa,Right-Handed,Kirill Dmitriev,185,http://www.atpworldtour.com/en/players/kirill-dmitriev/d960/overview,RUS,191,1991.08.09,402,397,Spain/Russia,25,108
"Rosario, Argentina","Right-Handed, Two-Handed Backhand",Federico Coria,,http://www.atpworldtour.com/en/players/federico-coria/ce77/overview,ARG,,1992.03.09,403,423,"Santa Fe, Argentina",25,108
Uccle,Arnaud Fontaine,Clement Geens,150,http://www.atpworldtour.com/en/players/clement-geens/gf08/overview,BEL,180,1996.03.11,404,405,"Right-Handed, Two-Handed Backhand",29,108
"Chennai, India",,Prajnesh Gunneswaran,,http://www.atpworldtour.com/en/players/prajnesh-gunneswaran/ga94/overview,IND,,1989.11.12,405,406,"Chennai, India",16,107
,,Temur Ismailov,,http://www.atpworldtour.com/en/players/temur-ismailov/i286/overview,UZB,,1995.01.14,406,444,,19,107
,,Deiton Baughman,,http://www.atpworldtour.com/en/players/deiton-baughman/bm19/overview,USA,,1996.04.23,407,407,,23,107
"Sambreville, Belgium","Right-Handed, Two-Handed Backhand",Romain Barbosa,187,http://www.atpworldtour.com/en/players/romain-barbosa/bl05/overview,POR,185,1994.04.17,408,409,Namur,29,106
"Koblenz, Germany","Right-Handed, Two-Handed Backhand",Jan Choinski,176,http://www.atpworldtour.com/en/players/jan-choinski/ch12/overview,GER,196,1996.06.10,409,411,Germany,31,106
"Venice Beach, CA, USA","Right-Handed, Two-Handed Backhand",Clay Thompson,190,http://www.atpworldtour.com/en/players/clay-thompson/tb84/overview,USA,198,1992.05.04,410,413,"Venice Beach, CA, USA",18,105
"Haryana, India","Right-Handed, Two-Handed Backhand",Sumit Nagal,150,http://www.atpworldtour.com/en/players/sumit-nagal/n897/overview,IND,178,1997.08.16,411,414,"New Delhi, India",19,105
"Köln, Germany",Right-Handed,Oscar Otte,181,http://www.atpworldtour.com/en/players/oscar-otte/o449/overview,GER,196,1993.07.16,412,416,"Köln, Germany",26,105
"Istanbul, Turkey","Right-Handed, Two-Handed Backhand",Cem Ilkel,174,http://www.atpworldtour.com/en/players/cem-ilkel/i306/overview,TUR,185,1995.08.21,413,437,"Istanbul, Turkey",28,105
,,Juan Carlos Saez,,http://www.atpworldtour.com/en/players/juan-carlos-saez/sl85/overview,CHI,,1991.08.05,414,356,,24,104
"Coburg, Germany","Right-Handed, Two-Handed Backhand",Kevin Krawietz,183,http://www.atpworldtour.com/en/players/kevin-krawietz/kb92/overview,GER,191,1992.01.24,415,417,"Coburg, Germany",25,104
"Bordeaux, France",Right-Handed,Laurent Rochette,174,http://www.atpworldtour.com/en/players/laurent-rochette/r822/overview,FRA,183,1988.02.05,416,418,"Paris, France",14,103
"Biella, Italy","Right-Handed, Two-Handed Backhand",Stefano Napolitano,198,http://www.atpworldtour.com/en/players/stefano-napolitano/n679/overview,ITA,196,1995.04.11,417,394,"Pollone, Italy",22,103
"Namur, Belgium",Right-Handed,Julien Dubail,172,http://www.atpworldtour.com/en/players/julien-dubail/d808/overview,BEL,193,1988.02.14,418,420,"Gelbressee, Belgium",30,103
"Shanghai, China","Right-Handed, Two-Handed Backhand",Zhizhen Zhang,192,http://www.atpworldtour.com/en/players/zhizhen-zhang/z371/overview,CHN,193,1996.10.16,419,421,"Shanghai, China",15,101
,,Marc Giner,,http://www.atpworldtour.com/en/players/marc-giner/gb71/overview,ESP,,1991.06.18,420,415,,19,101
,,Kento Takeuchi,,http://www.atpworldtour.com/en/players/kento-takeuchi/t885/overview,JPN,,1987.12.19,421,410,Japan,28,101
"Berkeley, California",Right-Handed,Mackenzie McDonald,145,http://www.atpworldtour.com/en/players/mackenzie-mcdonald/mk66/overview,USA,178,1995.04.16,422,424,"Piedmont, California",11,100
Auckland,Right-Handed,Finn Tearney,176,http://www.atpworldtour.com/en/players/finn-tearney/ta04/overview,NZL,183,1990.09.27,423,422,"Wellington, New Zealand",21,99
,,Vladimir Ivanov,,http://www.atpworldtour.com/en/players/vladimir-ivanov/i067/overview,EST,,1987.04.10,424,429,Right-Handed,20,98
,,Bastian Malla,,http://www.atpworldtour.com/en/players/bastian-malla/mm24/overview,CHI,,1996.09.22,425,474,,24,98
,,Antoine Escoffier,,http://www.atpworldtour.com/en/players/antoine-escoffier/e768/overview,FRA,,1992.02.29,426,430,,25,98
,,Vladyslav Manafov,,http://www.atpworldtour.com/en/players/vladyslav-manafov/mm54/overview,UKR,,1993.04.22,427,431,,25,98
,Oscar Burrieza,Javier Marti,,http://www.atpworldtour.com/en/players/javier-marti/mi08/overview,ESP,,1992.01.11,428,432,Right-Handed,16,97
"Gothenburg, Sweden","Right-Handed, Two-Handed Backhand",Markus Eriksson,176,http://www.atpworldtour.com/en/players/markus-eriksson/e688/overview,SWE,188,1989.11.29,429,419,"Gothenburg, Sweden",22,97
"Vancouver, Canada","Right-Handed, Two-Handed Backhand",Filip Peliwo,154,http://www.atpworldtour.com/en/players/filip-peliwo/pf65/overview,CAN,180,1994.01.30,430,433,"Montreal, Canada",22,97
,Marcelo Garcia - Daniel Paz,Juan Pablo Paz,,http://www.atpworldtour.com/en/players/juan-pablo-paz/pg69/overview,ARG,170,1995.01.04,431,436,"Right-Handed, Two-Handed Backhand",25,97
,,Maxime Authom,0,http://www.atpworldtour.com/en/players/maxime-authom/a789/overview,BEL,0,1987.03.29,432,435,,19,96
Mülheim an der Ruhr,"Left-Handed, Two-Handed Backhand",Mats Moraing,185,http://www.atpworldtour.com/en/players/mats-moraing/mj71/overview,GER,198,1992.06.20,433,438,Mülheim an der Ruhr,16,95
"Modbury, South Australia","Right-Handed, One-Handed Backhand",Bradley Mousley,181,http://www.atpworldtour.com/en/players/bradley-mousley/mn44/overview,AUS,188,1996.01.03,434,439,"Adelaide, Australia",23,95
El Puerto de Santa Marfa,"Right-Handed, Two-Handed Backhand",Ricardo Ojeda Lara,168,http://www.atpworldtour.com/en/players/ricardo-ojeda-lara/o408/overview,ESP,180,1993.01.26,435,440,"Valencia, Spain",28,95
"Peachtree City, Georgia","Left-Handed, Two-Handed Backhand",Kevin King,190,http://www.atpworldtour.com/en/players/kevin-king/kb14/overview,USA,191,1991.02.28,436,343,"Peachtree City, Georgia",11,94
,,Christopher Heyman,,http://www.atpworldtour.com/en/players/christopher-heyman/hb67/overview,BEL,,1993.10.08,437,441,,24,94
"Sydney, Australia","Right-Handed, One-Handed Backhand",Christopher O'Connell,172,http://www.atpworldtour.com/en/players/christopher-oconnell/o483/overview,AUS,183,1994.06.03,438,442,"Sydney, Australia",14,93
"Ljubljana, Slovenia",Right-Handed,Tom Kocevar-Desman,170,http://www.atpworldtour.com/en/players/tom-kocevar-desman/h986/overview,SLO,180,1990.07.10,439,426,"Ljubljana, Slovenia",16,93
,,Dragos Dima,154,http://www.atpworldtour.com/en/players/dragos-dima/da13/overview,ROU,180,1992.06.16,440,427,Right-Handed,19,93
,,Tigre Hank,187,http://www.atpworldtour.com/en/players/tigre-hank/h917/overview,MEX,188,1991.09.30,441,445,Left-Handed,33,93
"La Roche sur Yon, France","Right-Handed, Two-Handed Backhand",Tom Jomby,207,http://www.atpworldtour.com/en/players/tom-jomby/j439/overview,FRA,198,1991.02.18,442,428,"Paris, France",16,92
"Santiago, Chile","Right-Handed, Two-Handed Backhand",Nicolas Jarry,191,http://www.atpworldtour.com/en/players/nicolas-jarry/j551/overview,CHI,198,1995.10.11,443,467,"Santiago, Chile",14,91
Gangwonto,,Seong-chan Hong,143,http://www.atpworldtour.com/en/players/seong-chan-hong/hc21/overview,KOR,175,1997.06.30,444,446,"Right-Handed, Two-Handed Backhand",14,91
,,Yuya Kibi,,http://www.atpworldtour.com/en/players/yuya-kibi/ka46/overview,JPN,,1986.07.23,445,447,,19,91
,,Pedro Sakamoto,,http://www.atpworldtour.com/en/players/pedro-sakamoto/sl94/overview,BRA,,1993.06.29,446,404,,22,91
"San Juan de Alicante, Spain","Right-Handed, Two-Handed Backhand",Albert Alcaraz Ivorra,187,http://www.atpworldtour.com/en/players/albert-alcaraz-ivorra/ab40/overview,ESP,191,1995.05.15,447,434,"San Juan de Alicante, Spain",23,91
"Edina, Minnesota, USA","Right-Handed, Two-Handed Backhand",Mardy Fish,180,http://www.atpworldtour.com/en/players/mardy-fish/f339/overview,USA,188,1981.12.09,448,448,"Los Angeles, California",3,90
"Santanyi, Spain","Right-Handed, Two-Handed Backhand",Jaume Munar,163,http://www.atpworldtour.com/en/players/jaume-munar/mu94/overview,ESP,183,1997.05.05,449,425,"Barcelona, Spain",16,89
"Secuderabad, India","Right-Handed, Two-Handed Backhand",Vishnu Vardhan,185,http://www.atpworldtour.com/en/players/vishnu-vardhan/v505/overview,IND,188,1987.07.27,450,443,"Secuderabad, India",16,89
,,Maxime Tabatruong,159,http://www.atpworldtour.com/en/players/maxime-tabatruong/tb20/overview,FRA,180,1989.09.24,451,449,"Right-Handed, Two-Handed Backhand",22,89
Tel Aviv,"Left-Handed, One-Handed Backhand",Denis Shapovalov,155,http://www.atpworldtour.com/en/players/denis-shapovalov/su55/overview,CAN,183,1999.04.15,452,450,Ontario Canada,14,88
,,Ivan Endara,,http://www.atpworldtour.com/en/players/ivan-endara/e701/overview,ECU,,1988.03.04,453,451,,22,88
"Minsk, Belarus",Right-Handed,Yaraslav Shyla,190,http://www.atpworldtour.com/en/players/yaraslav-shyla/sk97/overview,BLR,193,1993.03.05,454,452,"Minsk, Belarus",26,88
"Nimes, France","Right-Handed, Two-Handed Backhand",Benjamin Bonzi,165,http://www.atpworldtour.com/en/players/benjamin-bonzi/bm95/overview,FRA,185,1996.06.09,455,477,"Anduze, France",31,88
"Algiers, Algeria",Right-Handed,Lamine Ouahab,183,http://www.atpworldtour.com/en/players/lamine-ouahab/o207/overview,MAR,185,1984.12.22,456,453,"Barcelona, Spain",10,87
"Moscow, Russia","Right-Handed, Two-Handed Backhand",Evgeny Karlovskiy,187,http://www.atpworldtour.com/en/players/evgeny-karlovskiy/kd87/overview,RUS,191,1994.08.07,457,456,"Moscow, Russia",23,87
"Split, Croatia","Right-Handed, Two-Handed Backhand",Mate Delic,189,http://www.atpworldtour.com/en/players/mate-delic/da89/overview,CRO,196,1993.04.29,458,457,"Split, Croatia",19,85
"Sofia, Bulgaria","Right-Handed, Two-Handed Backhand",Dimitar Kutrovsky,162,http://www.atpworldtour.com/en/players/dimitar-kutrovsky/k918/overview,BUL,175,1987.08.27,459,454,"Austin, Texas",10,84
"Rome, Italy","Right-Handed, Two-Handed Backhand",Riccardo Ghedin,172,http://www.atpworldtour.com/en/players/riccardo-ghedin/g822/overview,ITA,,1985.12.05,460,506,"Rome, Italy",14,84
"Akashi, Hyogo, Japan",,Makoto Ochi,143,http://www.atpworldtour.com/en/players/makoto-ochi/o664/overview,JPN,175,1996.05.03,461,458,"Left-Handed, Two-Handed Backhand",26,84
"Hamburg, Germany","Right-Handed, One-Handed Backhand",Tommy Haas,185,http://www.atpworldtour.com/en/players/tommy-haas/h355/overview,GER,188,1978.04.03,462,459,"Bradenton, Florida - LA, CA",12,83
"Athens, Greece","Right-Handed, One-Handed Backhand",Stefanos Tsitsipas,172,http://www.atpworldtour.com/en/players/stefanos-tsitsipas/te51/overview,GRE,193,1998.08.12,463,532,"Athens, Greece",15,83
"Tokyo, Japan","Right-Handed, One-Handed Backhand",Akira Santillan,168,http://www.atpworldtour.com/en/players/akira-santillan/sq80/overview,JPN,178,1997.05.22,464,462,"Brisbane, Australia",18,83
"Oliveira de Azemeis, Portugal","Right-Handed, Two-Handed Backhand",Joao Domingues,154,http://www.atpworldtour.com/en/players/joao-domingues/d985/overview,POR,178,1993.10.05,465,466,"Porto, Portugal",22,83
Samosir Island,"Right-Handed, Two-Handed Backhand",Andre Dome,170,http://www.atpworldtour.com/en/players/andre-dome/db49/overview,USA,180,1990.08.13,466,463,"Arroyo Grande, CA",9,82
,,Georgi Rumenov Payakov,,http://www.atpworldtour.com/en/players/georgi-rumenov-payakov/r882/overview,ESP,,1989.12.15,467,465,,13,82
,,Sebastian Fanselow,,http://www.atpworldtour.com/en/players/sebastian-fanselow/f664/overview,GER,,1991.12.30,468,468,,17,82
"Straubing, Germany","Left-Handed, Two-Handed Backhand",Marc Sieber,150,http://www.atpworldtour.com/en/players/marc-sieber/sh37/overview,GER,178,1988.02.28,469,541,Munich,16,81
,,Takuto Niki,,http://www.atpworldtour.com/en/players/takuto-niki/n598/overview,JPN,,1987.10.12,470,470,,24,81
,,Kaichi Uchida,,http://www.atpworldtour.com/en/players/kaichi-uchida/u120/overview,JPN,,1994.08.23,471,471,,29,81
,,Marcos Giraldi Requena,,http://www.atpworldtour.com/en/players/marcos-giraldi-requena/gd11/overview,ESP,,1993.11.26,472,472,"Right-Handed, Two-Handed Backhand",32,81
Sangju,"Right-Handed, Two-Handed Backhand",Soon Woo Kwon,161,http://www.atpworldtour.com/en/players/soon-woo-kwon/kf17/overview,KOR,180,1997.12.02,473,473,Sinbongdong,16,80
"Hamburg, Germany","Right-Handed, Two-Handed Backhand",Nico Matic,168,http://www.atpworldtour.com/en/players/nico-matic/mn08/overview,GER,178,1992.01.01,474,469,"Hamburg, Germany",21,80
"Mazara del Vallo, Italy","Right-Handed, Two-Handed Backhand",Omar Giacalone,168,http://www.atpworldtour.com/en/players/omar-giacalone/gb94/overview,ITA,183,1992.01.11,475,475,"Mazara del Vallo, Italy",24,80
"Antwerp, Belgium","Right-Handed, Two-Handed Backhand",Michael Geerts,161,http://www.atpworldtour.com/en/players/michael-geerts/gg65/overview,BEL,180,1995.01.17,476,476,"Antwerp, Belgium",29,80
"St. Petersburg, Russia",Right-Handed,Mikhail Elgin,172,http://www.atpworldtour.com/en/players/mikhail-elgin/e180/overview,RUS,183,1981.10.14,477,478,"St. Petersburg, Russia",8,78
"Auckland, New Zealand",Right-Handed,Jose Statham,158,http://www.atpworldtour.com/en/players/jose-statham/sf89/overview,NZL,183,1987.04.25,478,479,"Auckland, New Zealand",15,78
"Thousand Oaks,California, USA","Right-Handed, Two-Handed Backhand",Marcos Giron,165,http://www.atpworldtour.com/en/players/marcos-giron/gc88/overview,USA,180,1993.07.24,479,480,"Thousand Oaks,California,USA",16,78
"Tijuana, Mexico","Left-Handed, Two-Handed Backhand",Lucas Gomez,159,http://www.atpworldtour.com/en/players/lucas-gomez/gc87/overview,MEX,178,1995.08.11,480,481,"Tijuana, Mexico",24,78
,,Thales Turini,,http://www.atpworldtour.com/en/players/thales-turini/t961/overview,BRA,,1989.07.18,481,492,,27,78
,,David Vega Hernandez,,http://www.atpworldtour.com/en/players/david-vega-hernandez/v758/overview,ESP,,1994.06.23,482,482,Right-Handed,31,78
,,Ricardo Rodriguez - Pace,,http://www.atpworldtour.com/en/players/ricardo-rodriguez---pace/rb00/overview,VEN,,1993.04.28,483,483,,20,77
"Sofia, Bulgaria","Left-Handed, Two-Handed Backhand",Alexandar Lazov,152,http://www.atpworldtour.com/en/players/alexandar-lazov/l950/overview,BUL,183,1990.07.09,484,485,Bulgaria,23,77
"Khabarovsk, Russia","Right-Handed, Two-Handed Backhand",Evgeny Elistratov,187,http://www.atpworldtour.com/en/players/evgeny-elistratov/e857/overview,RUS,193,1994.12.28,485,500,"Moscow, Russia",23,77
"Nottingham, England","Right-Handed, Two-Handed Backhand",Luke Bambridge,187,http://www.atpworldtour.com/en/players/luke-bambridge/bk05/overview,GBR,191,1995.01.21,486,484,"Nottingham, England",24,77
Bystrice nad Pernstejnem,"Right-Handed, Two-Handed Backhand",Zdenek Kolar,165,http://www.atpworldtour.com/en/players/zdenek-kolar/kh56/overview,CZE,183,1996.10.09,487,487,Bystrice nad Pernstejnem,28,77
"Prostejov, Czech Republic","Right-Handed, Two-Handed Backhand",Jaroslav Pospisil,159,http://www.atpworldtour.com/en/players/jaroslav-pospisil/p605/overview,CZE,178,1981.02.09,488,488,"Prostejov, Czech Republic",10,76
"Les Abymes, Guadeloupe",Right-Handed,Gianni Mina,170,http://www.atpworldtour.com/en/players/gianni-mina/mj89/overview,FRA,185,1992.02.09,489,490,"Paris, France",16,76
"Cittadella, Italy",,Gianluigi Quinzi,176,http://www.atpworldtour.com/en/players/gianluigi-quinzi/q948/overview,ITA,191,1996.02.01,490,461,"Left-Handed, Two-Handed Backhand",16,76
"Sao Paulo, Brazil",Left-Handed,Daniel Dutra da Silva,159,http://www.atpworldtour.com/en/players/daniel-dutra-da-silva/sg56/overview,BRA,175,1988.07.05,491,489,"Sao Paulo, Brazil",16,76
"Cham, Germany","Right-Handed, Two-Handed Backhand",Peter Heller,165,http://www.atpworldtour.com/en/players/peter-heller/ha33/overview,GER,188,1992.08.12,492,491,"Cham, Germany",18,76
,,Richard Gabb,,http://www.atpworldtour.com/en/players/richard-gabb/gc36/overview,GBR,,1992.02.12,493,486,,27,76
"Moscow, Russia","Right-Handed, Two-Handed Backhand",Dmitry Tursunov,180,http://www.atpworldtour.com/en/players/dmitry-tursunov/t315/overview,RUS,185,1982.12.12,494,493,"Moscow, Russia",7,75
,Sebastian Vasquez,Stefano Travaglia,176,http://www.atpworldtour.com/en/players/stefano-travaglia/ta12/overview,ITA,185,1991.12.18,495,494,,18,75
,,Dennis Nevolo,,http://www.atpworldtour.com/en/players/dennis-nevolo/n563/overview,USA,,1989.12.22,496,521,Right-Handed,20,75
,,Christopher Diaz-Figueroa,,http://www.atpworldtour.com/en/players/christopher-diaz-figueroa/d868/overview,GUA,,1990.03.14,497,497,,25,75
"Alicante, Spain","Right-Handed, Two-Handed Backhand",Carlos Boluda-Purkiss,152,http://www.atpworldtour.com/en/players/carlos-boluda-purkiss/bg72/overview,ESP,173,1993.01.22,498,498,"Alicante, Spain",31,75
"Chennai, India","Right-Handed, Two-Handed Backhand",N Vijay Sundar Prashanth,165,http://www.atpworldtour.com/en/players/n-vijay-sundar-prashanth/pa97/overview,IND,178,1986.10.27,499,527,"Chennai, India",17,74
"Zabrze, Poland",Left-Handed,Grzegorz Panfil,168,http://www.atpworldtour.com/en/players/grzegorz-panfil/pb13/overview,POL,183,1988.01.01,500,499,"Ustron, Poland",20,74
"Alzira, Spain",,Pedro Martinez Portero,168,http://www.atpworldtour.com/en/players/pedro-martinez-portero/mo44/overview,ESP,,1997.04.26,501,503,"Right-Handed, Two-Handed Backhand",25,74
"Ivanovo, Russia",Right-Handed,Alexandr Igoshin,203,http://www.atpworldtour.com/en/players/alexandr-igoshin/i295/overview,RUS,191,1992.01.10,502,501,"Barcelona, Spain",27,74
"Briançon, France","Right-Handed, One-Handed Backhand",Remi Boutillier,172,http://www.atpworldtour.com/en/players/remi-boutillier/bm43/overview,FRA,188,1990.01.15,503,464,"Grenoble, France",9,73
,,Duje Kekez,,http://www.atpworldtour.com/en/players/duje-kekez/kd14/overview,CRO,,1993.03.30,504,511,"Right-Handed, Two-Handed Backhand",30,73
,,Evgeny Tyurnev,,http://www.atpworldtour.com/en/players/evgeny-tyurnev/td47/overview,RUS,,1997.04.08,505,495,,19,72
,,Young Seok Kim,,http://www.atpworldtour.com/en/players/young-seok-kim/kf15/overview,KOR,,1995.05.12,506,504,"Left-Handed, Two-Handed Backhand",24,72
"Oldham, Great Britain",Right-Handed,Daniel Smethurst,183,http://www.atpworldtour.com/en/players/daniel-smethurst/si57/overview,GBR,188,1990.10.13,507,507,"Manchester, Great Britain",16,71
